TYPE,SUBJECT,START_DT,END_DT,OWNER_ID,REG_DT,COMP_DT,STATUS,PLANT,CAR_MAKER,PROJECT,M_CODE,Process,POINT_OUT,ROOT_CAUSE_ANALYSIS,COUNTER_MEASURE,URL
Project,2026-SAIC Audi-B10,2026-04-24,2026-04-24,81706381,2026-04-26,2026-04-29,Complete,JP,SAIC Audi,B10,1035055,Inspection,X-RAY人员资质卡及检测标准未现场放置,1.人力资源素质矩阵由专人保管进行确认，未拿到现场: 2.轮胎机器检查标准未放到现场,1.人力资源素质矩阵放置现 场已完成 2.轮胎机器检查标准放置现 场已完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=50587EB21CC58878E0633C071FCAC0EB
Project,2026-SAIC Audi-B10,2026-04-24,2026-04-24,81706381,2026-04-26,2026-04-29,Complete,JP,SAIC Audi,B10,1035055,Logistics,均一性车间，轮胎堆放混乱,轮胎未及时入库,1.白班对在库轮胎每日进行。确认及时入库 2.现堆放轮胎已入库完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=50587EB21CC58878E0633C071FCAC0EB
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Incoming,' → Improvement required for storage area before incoming inspection after raw material arrival   → Inspected and waiting items are currently mixed in the field,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,"'→ Identification required for trolley storing weighed bags  → Individual box identification is managed, but trolley-level information is missing, making traceability difficult",-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,'→ Need to enhance check sheets with brief troubleshooting and history  → More detailed process required to ensure proper understanding by next shift operators,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Extrusion,'→ Tread's shoulder area and weights are not matching with the specification.  → More detailed process required to ensure proper understanding by next shift operators,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,'→ Delay in VDA 6.3-based supplier audit cycle for some suppliers  → Customer-specific requirements not fully reflected in quality agreements between some suppliers and HK,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Incoming,The storage area for textile cord in the raw material warehouse has steps (which pose a safety risk),~,The steps and the connection area have been cordoned off with warning lines.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Calendaring,How to ensure the actual performance testing of textile cord tension (currently only steel cord has tensile testing),The textile cord tension is now confirmed according to the display value of the equipment.,1. Develop textile cord tension correction methods. 2. Conduct a precision inspection of the extrusion tension once a month and keep a record.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Calendaring,The temperature of the TCU in the control plan is inconsistent with the actual situation on site.,The control plan is not updated in a timely manner.,Update the control plan to ensure that information is conveyed promptly and accurately.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,Establish a maintenance plan for the DIE (such as the rust prevention cycle),"Current management method: Before use, maintain the DIE.","Maintenance plan established, records are kept.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,The values recorded in the second weighing scale inspection form have remained unchanged (six data points need to be tested and the maximum value recorded),"The inspection form requires two types of weight checks. For each weight, three values need to be tested and the maximum value recorded. However, the employees' records are not clear.","1. Line leader provided one-on-one training to the employees of this position, and also conducted comprehensive education for all staff. 2. Line leader conducted random checks.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,"In the MCIS system, how do the optical bands and cameras ensure the capabilities (the current inspection based on standard components is not comprehensive; it is recommended to conduct MSA analysis)",The online equipment has only undergone periodic verification of standard components so far.,Conduct a CMK (Device Capability Index) analysis on the online devices to ensure that it meets the requirement of &gt; 1.67.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
