DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00123,HP,The others,BYD  215/65R16V IK41A  HS → HM 生产变更承认邀请,Complete,Complete,81100266,2026-05-22,2026-05-22,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00123,Building Set,HS → HM 生产变更邀请,1
MANA-DOC-2026-00122,KP,Improve Quality,"KP TBR - 10R22.5 14 AH37, DH37(3002850, 3003276) STW 품질 이슈 개선 S/W 폭, Set Pos 변경 승인 요청",Waiting for Reception,On-going,21604696,2026-05-21,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00122,Profile,"S/W 폭 -5mm(중량 -0.061%), S/W Set Pos1 -3mm(263→260)",2
MANA-DOC-2026-00120,KP,Prevent nonconformity,"SKODA 7S Space AUS, LP 개선",Waiting for Reception,On-going,21500066,2026-05-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00120,Curing, BG35BU → BG56CU  변경(동일 외관 Extreme Soft Compound 적용),1
MANA-DOC-2026-00120,KP,Prevent nonconformity,"SKODA 7S Space AUS, LP 개선",Waiting for Reception,On-going,21500066,2026-05-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00120,Profile,프로파일 상 Groove 폭 축소(LT 개선),1
MANA-DOC-2026-00120,KP,Prevent nonconformity,"SKODA 7S Space AUS, LP 개선",Waiting for Reception,On-going,21500066,2026-05-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00120,Profile,T/D wing +5 ~ 10mm 지점 Air ,1
MANA-DOC-2026-00121,KP,Prevent nonconformity,"SKODA 7S Space BSH, LP 개선",Saved,On-going,21500066,2026-05-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00121,Curing, BG35BU → BG56CU  변경(동일 외관 Extreme Soft Compound 적용),1
MANA-DOC-2026-00121,KP,Prevent nonconformity,"SKODA 7S Space BSH, LP 개선",Saved,On-going,21500066,2026-05-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00121,Profile,T/D Ga' 상향(JLB 끝 부),1
MANA-DOC-2026-00119,DP,The others,"GSO 인증 강화 대응 목적 각인 공기압 변경 (215/75R17.5 12PR AH35-3002239, 215/75R17.5 12PR DH35-3002240",Under Verification,On-going,21604344,2026-05-19,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00119,Mold,"Load & Pressure, Test psi 각인 공기압 변경 ( 725kPa → 700kPa )",2
MANA-DOC-2026-00118,IP,Improve Productivity,Renault Sandero 4M Change (Curing Timp. change 58DJ → 63DH),Under Verification,On-going,21200452,2026-05-18,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00118,Curing,58 DJ 936(sec) → 63 DH 846(sec),1
MANA-DOC-2026-00117,DP,Prevent nonconformity, (DP) Avante / Casper T.D P63 Comp'd  비중팩터 현실화,Complete,Complete,21603090,2026-05-16,2026-05-18,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00117,Compound,CQP63  Weight Factor  : 0.965  to 0.980,3
