DOC_NO,PLANT,STAGE,OEM,VEH,PJT,OCC_DATE,REG_DATE,RETURN_YN,RTN_DATE,CTM_DATE,HK_FAULT_YN,COMP_DATE,STATUS,LOCATION,MARKET,M_CODE,TYPE_NAME,CAT_NAME,SUB_CAT_NAME,D2_PROBLEM,D0_EMERGENCY,D4_SMMY,D8_RESULT,D4_ROOT_CAUSE,D5_COUNTERMEASURE,URL
QI-2026-00134,MP,Development,BMW,"3 series, iX1/2, Countrym",NA0/NA1/NB5,2026-05-26,2026-05-26,Y,2026-05-26,null,null,null,On-going,Test,Europe,1033534,Performance,Lab test,RR,"1033534X00037(XEB0) 성능 승인품과
1033534X00048(XEB0) 재제조품과의 RR 편차 원인 분석 요청드립니다.

 승인품(X37) RR 수준(Avg 6.19)과
재제조품(X48)의 RR 수준(Avg 5.72) 차이가 약 7.5% 발생.",.,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e6289af4dafa08202c2a613db135fe
QI-2026-00133,MP,Development,HMC,Avante N,CN8N,2026-05-19,2026-05-22,null,null,null,null,null,On-going,Test,ASIA(Korea),1037885,Performance,R&H,Dry handling,"1. 요약 : 드라이 핸들링 평가를 실시하였고, P00(DOT1126) 과 x09(DOT1126이후) 간 성능편차발생(P00 / x09 동스펙)
2. 배경 : 당 프로젝트(HMC CN8 N) 양시품(P00)을 OE(HMC)에 유상제공하여 레퍼런스로 사용 중. 금주 2차 Internal screen 진행시 레퍼런스로 x09(P00 동스펙)사용하였음. 더블체크를 위해, P00 과 X09 실차평가를 진행하였으며 이때 성능편차발생(0.5pt 이상 차이발생)
3. 실차평가 결과(Ride/Handling/Steering)
 - x09 : 6.9pt/7.1pt/7.0pt
 - p00 : 7.0pt/7.7pt/7.5pt

4.추가코멘트
 - 유첨파일은 금번 인터널스크린 결과이며, K1C_Re(x09) 이며, E1C_장착품(P00) 임",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e4cb92a97e31aebcd7b3f4cc010586
QI-2026-00132,JP,Mass Production,Leapmotor,Others,B05,2026-05-18,2026-05-19,null,null,2026-05-21,Y,2026-05-22,Complete,In-Line(OE),ASIA(China),1037354,Manufacturing,Defect,Flash,胎肩处 OF析出，出库前未处理干净流落到主机厂,安排人员到零跑装胎厂排库,OF 发生，没修理干净，流入到oem哪里,"OF 发生，没修理干净，流入到oem哪里,制订极限样本，强化检查流程。防止流出",轮胎肩部修边标准不明确，导致外观检查时，检查人员判定不明确，最终导致轮胎流出,析出刮出process 强化：       现在方式： 硫化后轮胎流入Trimming 工序，Trimming 人员进行析出刮出,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e3e56ee9ff4457e0627a32a0aa0025
QI-2026-00131,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-05-14,2026-05-14,null,null,2026-05-15,N,2026-05-15,Complete,Internal,ETC,1035786,IQM Plus,General,Nonconformity,Plant improvement activities due to a large number of nonconformities.,-,"Development (Pilot P0001) Nonconformity occurrence - AUS (3), SC (10), ECC (14) -> BSD +4 mm improvement (Risk Point)
1st improvement -> Bladder change (BD26AN -> BD37AI, Bladder Size ↑)
2nd improvement -> I/L Ga. 1.0/0.5 → 1.1/0.5
                                           S/W ga/ → SC position 0.5 mm ↑
                                           Belt Drum Cir. 1917 → 1920
","1. IQM Score (NCF) : 12.6 → 13.4 ( 6.3% Improve )
     IQM Score (Total) : 71.6 → 80.8 (11.4% Improve)
2. Nonconformity 
  - SC : 2,576 → 1,041 PPM ( 59.6% improve )","[SC] Due to the stiffness of the new bladder, internal pressure increased, resulting in higher carcass tensile force.",[SC] Bladder Re-use → Use of bladder with more than 100 cycles,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e23fa3f30b76aa8972b7afa6d12275
QI-2026-00131,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-05-14,2026-05-14,null,null,2026-05-15,N,2026-05-15,Complete,Internal,ETC,1035786,IQM Plus,General,Nonconformity,Plant improvement activities due to a large number of nonconformities.,-,"Development (Pilot P0001) Nonconformity occurrence - AUS (3), SC (10), ECC (14) -> BSD +4 mm improvement (Risk Point)
1st improvement -> Bladder change (BD26AN -> BD37AI, Bladder Size ↑)
2nd improvement -> I/L Ga. 1.0/0.5 → 1.1/0.5
                                           S/W ga/ → SC position 0.5 mm ↑
                                           Belt Drum Cir. 1917 → 1920
","1. IQM Score (NCF) : 12.6 → 13.4 ( 6.3% Improve )
     IQM Score (Total) : 71.6 → 80.8 (11.4% Improve)
2. Nonconformity 
  - SC : 2,576 → 1,041 PPM ( 59.6% improve )",[SC] I/L gauge reinforcement due to carcass tensile force limit reached during curing,[SC] I/L Guage Center ~ USL management,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e23fa3f30b76aa8972b7afa6d12275
QI-2026-00131,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-05-14,2026-05-14,null,null,2026-05-15,N,2026-05-15,Complete,Internal,ETC,1035786,IQM Plus,General,Nonconformity,Plant improvement activities due to a large number of nonconformities.,-,"Development (Pilot P0001) Nonconformity occurrence - AUS (3), SC (10), ECC (14) -> BSD +4 mm improvement (Risk Point)
1st improvement -> Bladder change (BD26AN -> BD37AI, Bladder Size ↑)
2nd improvement -> I/L Ga. 1.0/0.5 → 1.1/0.5
                                           S/W ga/ → SC position 0.5 mm ↑
                                           Belt Drum Cir. 1917 → 1920
","1. IQM Score (NCF) : 12.6 → 13.4 ( 6.3% Improve )
     IQM Score (Total) : 71.6 → 80.8 (11.4% Improve)
2. Nonconformity 
  - SC : 2,576 → 1,041 PPM ( 59.6% improve )",[SC] To reduce internal pressure and lower the tensile force of the carcass,"[SC] I/L Ga. 1.0/0.5 → 1.1/0.5 , S/W ga → SC Poisition 0.5 mm ↑ , Belt Drum Cir. 1917 → 1920",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e23fa3f30b76aa8972b7afa6d12275
QI-2026-00131,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-05-14,2026-05-14,null,null,2026-05-15,N,2026-05-15,Complete,Internal,ETC,1035786,IQM Plus,General,Nonconformity,Plant improvement activities due to a large number of nonconformities.,-,"Development (Pilot P0001) Nonconformity occurrence - AUS (3), SC (10), ECC (14) -> BSD +4 mm improvement (Risk Point)
1st improvement -> Bladder change (BD26AN -> BD37AI, Bladder Size ↑)
2nd improvement -> I/L Ga. 1.0/0.5 → 1.1/0.5
                                           S/W ga/ → SC position 0.5 mm ↑
                                           Belt Drum Cir. 1917 → 1920
","1. IQM Score (NCF) : 12.6 → 13.4 ( 6.3% Improve )
     IQM Score (Total) : 71.6 → 80.8 (11.4% Improve)
2. Nonconformity 
  - SC : 2,576 → 1,041 PPM ( 59.6% improve )",[SC] To reduce internal pressure and lower the tensile force of the carcass,"[SC] Bladder Change (BD26AN -&gt; BD37AI, Bladder Size ↑)",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e23fa3f30b76aa8972b7afa6d12275
QI-2026-00128,IP,Development,null,null,null,2026-04-29,2026-05-13,null,null,null,null,null,On-going,Internal,North America,1036870,Performance,Lab test,RR,"Ford P736 (F-150) RRC 상승 분석 요청드립니다
1) 이슈사항: 1차품(X02) 대비 2차품(X17) 의 RR결과가 예상과 다르게 매우 증가됨.
2) 배경:
- 2차품에서 B-mold(신제작)를 사용하였음.(Profile은 동일하고, PRAT 및 Snow 개선을 위해 패턴 수정됨)
- VT를 통한 ISLM Simulation 결과로는 RR이 1차품 대비 개선될것으로 기대하였음.
   Simulation RRC results(ISO): 5.7(X02) -> 5.39(X17)
- 하지만 반대로, 타이어 제조 후 RR측정결과, 1차품 보다 RR이 상승함.
   test RRC results(ISO): 6.24(X02) -> 6.93(X17)
- OE RRC Target은 SAE만 있음, ISO로는 5.7 정도 수준 되어야함.
3) 스팩정보
-1차품: 1036870 X02 (A-mold)
-2차품: 1036870 X17 (B-mold)
            X17은 B-mold의 Check tire로써, 동일 구조로 X10, X26을 두차례 제조하였습니다.
                -X10: X17과 스팩 동일하나 재압출을 통해 단면 개선
                -X26: X17에서 Tread Profile 수정하였음.
                -추후 OE 서브미션 제출은 X10또는 X26중 단면 및 기본 단품시험결과 양호한 것으로 대응할 예정입니다.
 
4) 요청사항: 위와 같은 배경으로, X17의 타이어의 RR 결과에 대하여 품질편차 분석 요청드립니다.
 ",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1dbf8ec23b4b0a28a913b8f28152b
QI-2026-00129,MP,Development,AMG,CLA Coupe,BR174,2026-05-12,2026-05-13,null,null,null,null,null,On-going,Test,Europe,1037507,Performance,R&H,Dry handling,"Approval spec : 1037507X48 / 1037508X48
Issue spec : 1037507P01 / 103708P00
                        1037507X50 / 1037508X52
- AMG 측 ESP 평가 중 P-production에 대한 성능 차이 이슈 제기
- UTG 개선 spec Screen 평가 중 성능 차이 확인",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1f7a46bda392751333173bd5e014b
QI-2026-00130,MP,Development,AMG,CLA Coupe,BR174,2026-05-12,2026-05-13,null,null,null,null,null,On-going,Test,Europe,1037508,Performance,R&H,Dry handling,"Approval spec : 1037507X48 / 1037508X48
Issue spec : 1037507P01 / 103708P00
                        1037507X50 / 1037508X52
- AMG 측 ESP 평가 중 P-production에 대한 성능 차이 이슈 제기
- UTG 개선 spec Screen 평가 중 성능 차이 확인",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1f8d0afff74354abce3c5f4e18e32
